xcord,ycord,zcord,carbon,year,plot,state,sizeclass,DBH,commonname,scientificname
319867.7534,4091988.786,2006.8699951171875,0.867563695,2004,un1,Live,3,52,White Fir,Abies concolor
319867.9334,4091985.916,2006.469970703125,8.257566882,2004,un1,Live,6,129,White Fir,Abies concolor
319875.4234,4091988.026,2005.260009765625,0.054382707,2004,un1,Live,1,17,White Fir,Abies concolor
319875.7534,4091987.976,2005.010009765625,0.008445338,2004,un1,Live,1,8,White Fir,Abies concolor
319880.1934,4091993.826,2005.1500244140625,0.826788232,2004,un1,Live,3,51,White Fir,Abies concolor
319883.9134,4091996.826,2004.8199462890625,0.01853536,2004,un1,Live,1,11,White Fir,Abies concolor
319890.6634,4091992.196,2002.8499755859375,0.952657324,2004,un1,Live,3,54,White Fir,Abies concolor
319882.5034,4091991.966,2004.1199951171875,1.687216638,2004,un1,Live,4,68,White Fir,Abies concolor
319884.7334,4091989.686,2003.4599609375,0.109832802,2004,un1,Dead,2,26,White Fir,Abies concolor
319885.0434,4091989.116,2003.300048828125,0.00607676,2004,un1,Live,1,7,White Fir,Abies concolor
319888.1634,4091984.246,2001.9300537109375,0.114929233,2004,un1,Live,2,23,White Fir,Abies concolor
319881.3434,4091985.596,2003.6199951171875,0.937836896,2004,un1,Dead,3,58,White Fir,Abies concolor
319882.8234,4091983.826,2003.1400146484375,0.302646916,2004,un1,Live,2,34,White Fir,Abies concolor
319882.8234,4091983.726,2003.1400146484375,0.09174986,2004,un1,Live,2,21,White Fir,Abies concolor
319886.0734,4091976.746,2001.6099853515625,0.147803462,2004,un1,Dead,2,26,White Fir,Abies concolor
319886.4134,4091976.306,2001.52001953125,0.221948298,2004,un1,Live,2,30,White Fir,Abies concolor
319886.1234,4091974.866,2001.469970703125,0.204068438,2004,un1,Live,2,29,White Fir,Abies concolor
319886.1234,4091974.876,2001.469970703125,0.002655783,2004,un1,Live,1,5,White Fir,Abies concolor
319887.0334,4091978.056,2001.4599609375,0.541629221,2004,un1,Live,3,43,White Fir,Abies concolor
319887.5434,4091979.226,2001.300048828125,1.042546272,2004,un1,Live,3,56,White Fir,Abies concolor
319888.6134,4091980.036,2001.1199951171875,0.028009104,2004,un1,Live,1,13,White Fir,Abies concolor
319891.6634,4091979.436,2000.3299560546875,0.26043341,2004,un1,Live,2,32,White Fir,Abies concolor
319890.2334,4091977.756,2000.77001953125,0.541629221,2004,un1,Live,3,43,White Fir,Abies concolor
319890.2534,4091976.886,2000.6600341796875,0.711415569,2004,un1,Live,3,48,White Fir,Abies concolor
319883.3534,4091975.846,2002.31005859375,0.240731836,2004,un1,Live,2,31,White Fir,Abies concolor
319882.0434,4091973.986,2002.31005859375,0.640183209,2004,un1,Live,3,46,White Fir,Abies concolor
319882.8934,4091971.766,2001.9000244140625,0.002655783,2004,un1,Live,1,5,White Fir,Abies concolor
319880.7034,4091970.996,2002.199951171875,0.033641657,2004,un1,Live,1,14,White Fir,Abies concolor
319877.6034,4091975.046,2003.1099853515625,0.826788232,2004,un1,Live,3,51,White Fir,Abies concolor
319878.6734,4091981.146,2003.510009765625,1.451725061,2004,un1,Live,4,64,White Fir,Abies concolor
319872.0634,4091981.146,2004.93994140625,0.011293003,2004,un1,Live,1,9,White Fir,Abies concolor
319871.7134,4091978.546,2004.699951171875,0.10295028,2004,un1,Live,2,22,White Fir,Abies concolor
319869.9134,4091978.766,2005,0.054382707,2004,un1,Live,1,17,White Fir,Abies concolor
319870.6134,4091977.816,2004.68994140625,0.00607676,2004,un1,Live,1,7,White Fir,Abies concolor
319872.0434,4091977.066,2004.3699951171875,0.054382707,2004,un1,Live,1,17,White Fir,Abies concolor
319871.7334,4091975.956,2004.18994140625,0.014647586,2004,un1,Live,1,10,White Fir,Abies concolor
319870.4734,4091975.406,2004.31005859375,0.10295028,2004,un1,Live,2,22,White Fir,Abies concolor
319869.2734,4091976.576,2004.72998046875,0.008445338,2004,un1,Live,1,8,White Fir,Abies concolor
319869.5034,4091975.456,2004.31005859375,0.054382707,2004,un1,Live,1,17,White Fir,Abies concolor
319872.6034,4091974.556,2003.8599853515625,0.014647586,2004,un1,Live,1,10,White Fir,Abies concolor
319873.1134,4091971.876,2003.3399658203125,0.004157572,2004,un1,Live,1,6,White Fir,Abies concolor
319872.1534,4091970.886,2003.4000244140625,0.008445338,2004,un1,Live,1,8,White Fir,Abies concolor
319871.0134,4091970.626,2003.5899658203125,0.204068438,2004,un1,Live,2,29,White Fir,Abies concolor
319867.9634,4091973.926,2004.4000244140625,0.425208128,2004,un1,Live,2,39,White Fir,Abies concolor
319865.9634,4091975.066,2004.8800048828125,0.039900826,2004,un1,Live,1,15,White Fir,Abies concolor
319866.6734,4091977.176,2004.9599609375,0.008445338,2004,un1,Live,1,8,White Fir,Abies concolor
319863.0634,4091982.266,2006.4000244140625,0.062645541,2004,un1,Live,1,18,White Fir,Abies concolor
319862.0234,4091982.106,2006.3800048828125,0.033641657,2004,un1,Live,1,14,White Fir,Abies concolor
319865.2834,4091971.956,2004.43994140625,3.137248214,2004,un1,Live,5,95,Jeffrey Pine,Pinus jeffreyi
319866.2534,4091969.726,2004.050048828125,2.485747154,2004,un1,Dead,5,81,White Fir,Abies concolor
319885.0934,4091968.236,2000.77001953125,0.004157572,2004,un1,Live,1,6,White Fir,Abies concolor
319885.0934,4091968.736,2000.97998046875,0.004157572,2004,un1,Live,1,6,White Fir,Abies concolor
319879.1534,4091968.916,2002.27001953125,0.081310767,2004,un1,Live,1,20,White Fir,Abies concolor
319878.5834,4091967.336,2001.8699951171875,0.187077649,2004,un1,Live,2,28,White Fir,Abies concolor
319878.3534,4091966.546,2002.0699462890625,0.014647586,2004,un1,Live,1,10,White Fir,Abies concolor
319877.8534,4091966.546,2002.0699462890625,0.114929233,2004,un1,Live,2,23,White Fir,Abies concolor
319875.4234,4091968.766,2002.760009765625,0.008445338,2004,un1,Live,1,8,White Fir,Abies concolor
319874.4234,4091968.596,2002.81005859375,0.281067139,2004,un1,Live,2,33,White Fir,Abies concolor
319865.8934,4091965.196,2002.800048828125,0.425208128,2004,un1,Live,2,39,White Fir,Abies concolor
319861.6834,4091975.556,2005.4000244140625,0.141289597,2004,un1,Live,2,25,White Fir,Abies concolor
319861.2234,4091974.386,2005.1199951171875,0.452744451,2004,un1,Live,2,40,White Fir,Abies concolor
319860.0334,4091973.806,2005.18994140625,0.10295028,2004,un1,Live,2,22,White Fir,Abies concolor
319859.5534,4091973.426,2005.02001953125,0.062645541,2004,un1,Live,1,18,White Fir,Abies concolor
319859.7434,4091976.486,2005.6199951171875,0.004157572,2004,un1,Live,1,6,White Fir,Abies concolor
319858.0634,4091975.336,2005.5899658203125,0.221948298,2004,un1,Live,2,30,White Fir,Abies concolor
319857.2534,4091974.326,2005.3199462890625,0.10295028,2004,un1,Live,2,22,White Fir,Abies concolor
319857.2534,4091979.646,2006.43994140625,0.187077649,2004,un1,Live,2,28,White Fir,Abies concolor
319854.2034,4091978.376,2006.1500244140625,5.688033197,2004,un1,Live,6,111,White Fir,Abies concolor
319855.0234,4091973.236,2005.1300048828125,0.081310767,2004,un1,Live,1,20,White Fir,Abies concolor
319853.2134,4091972.806,2005.199951171875,0.302646916,2004,un1,Live,2,34,White Fir,Abies concolor
319853.8834,4091967.806,2004.3299560546875,7.378758241,2004,un1,Live,6,135,Sugar Pine,Pinus lambertiana
319860.2734,4091957.026,2001.5999755859375,6.762849146,2004,un1,Dead,6,128,White Fir,Abies concolor
319854.5134,4091956.756,2001.72998046875,0.711415569,2004,un1,Live,3,48,White Fir,Abies concolor
319855.7634,4091955.776,2001.510009765625,0.452744451,2004,un1,Live,2,40,White Fir,Abies concolor
319744.2034,4092020.906,2011.3199462890625,0.952657324,2004,un1,Live,3,54,White Fir,Abies concolor
319741.4134,4092020.656,2011.75,0.221948298,2004,un1,Live,2,30,White Fir,Abies concolor
319740.6934,4092019.646,2011.47998046875,0.07161536,2004,un1,Live,1,19,White Fir,Abies concolor
319726.2234,4092019.396,2013.3299560546875,0.054382707,2004,un1,Live,1,17,Red Fir,Abies magnifica
319723.2934,4092020.436,2014.219970703125,0.002655783,2004,un1,Live,1,5,White Fir,Abies concolor
319741.2834,4092019.026,2011.239990234375,5.561777241,2004,un1,Live,6,110,Red Fir,Abies magnifica
319722.6134,4092020.786,2014.27001953125,0.002655783,2004,un1,Live,1,5,Red Fir,Abies magnifica
319722.1734,4092020.596,2014.4599609375,0.09174986,2004,un1,Live,2,21,Red Fir,Abies magnifica
319721.7134,4092017.346,2013.9599609375,0.00607676,2004,un1,Live,1,7,White Fir,Abies concolor
319719.2034,4092019.476,2014.9599609375,0.039900826,2004,un1,Live,1,15,White Fir,Abies concolor
319718.7734,4092018.516,2014.9599609375,0.07161536,2004,un1,Live,1,19,Red Fir,Abies magnifica
319718.0434,4092017.676,2015.1400146484375,0.004157572,2004,un1,Live,1,6,White Fir,Abies concolor
319716.3134,4092017.256,2015.489990234375,0.004157572,2004,un1,Live,1,6,White Fir,Abies concolor
319747.0434,4092017.796,2010.4100341796875,0.227831856,2004,un1,Dead,2,33,Red Fir,Abies magnifica
319750.8234,4092016.926,2009.5699462890625,0.17096106,2004,un1,Live,2,27,White Fir,Abies concolor
319753.3634,4092020.166,2009.800048828125,1.237047097,2004,un1,Live,3,60,Red Fir,Abies magnifica
319754.1834,4092017.016,2009.0699462890625,0.022981268,2004,un1,Live,1,12,Red Fir,Abies magnifica
319754.3734,4092018.096,2009.280029296875,1.396128794,2004,un1,Live,4,63,Red Fir,Abies magnifica
319755.7734,4092017.606,2009.0799560546875,0.054382707,2004,un1,Live,1,17,Red Fir,Abies magnifica
319755.9434,4092018.826,2009.300048828125,0.325186417,2004,un1,Live,2,35,White Fir,Abies concolor
319758.2834,4092024.986,2009.8499755859375,0.008445338,2004,un1,Live,1,8,Red Fir,Abies magnifica
319759.1734,4092019.336,2008.81005859375,0.573390216,2004,un1,Live,3,44,Red Fir,Abies magnifica
319760.2234,4092019.976,2008.8800048828125,7.337434712,2004,un1,Live,6,123,White Fir,Abies concolor
319761.4534,4092022.056,2009.1099853515625,0.748725283,2004,un1,Live,3,49,White Fir,Abies concolor
319751.5734,4092024.366,2010.800048828125,2.296334066,2004,un1,Live,4,77,White Fir,Abies concolor
319851.8534,4091967.656,2004.3299560546875,0.127703527,2004,un1,Live,2,24,Red Fir,Abies magnifica
319848.6534,4091967.256,2004.1600341796875,0.011293003,2004,un1,Live,1,9,White Fir,Abies concolor
319848.2534,4091966.396,2003.969970703125,0.081310767,2004,un1,Live,1,20,White Fir,Abies concolor
319848.9834,4091973.426,2005.22998046875,0.062645541,2004,un1,Live,1,18,White Fir,Abies concolor
