xcord,ycord,biomass,year
34,353,74.9588,2010
35,353,80.1678,2010
36,353,80.4666,2010
37,353,73.9508,2010
38,353,71.1482,2010
39,353,73.6206,2010
40,353,71.8691,2010
41,353,69.545,2010
42,353,62.9284,2010
43,353,67.2625,2010
44,353,62.6453,2010
45,353,69.156,2010
46,353,64.2132,2010
47,353,60.7253,2010
48,353,71.0263,2010
49,353,60.6043,2010
50,353,67.1226,2010
51,353,72.8715,2010
52,353,71.5004,2010
53,353,70.254,2010
54,353,75.1981,2010
55,353,53.797,2010
56,353,55.903,2010
5,352,98.521,2010
20,352,92.2391,2010
21,352,88.565,2010
22,352,87.2145,2010
23,352,91.1263,2010
24,352,85.7513,2010
25,352,87.9019,2010
26,352,86.6096,2010
27,352,89.5939,2010
28,352,84.648,2010
29,352,87.8867,2010
30,352,86.9602,2010
31,352,83.5473,2010
32,352,82.0472,2010
33,352,78.3999,2010
34,352,74.2091,2010
35,352,75.5614,2010
36,352,67.283,2010
37,352,74.8188,2010
38,352,83.9713,2010
39,352,72.3673,2010
40,352,76.5406,2010
41,352,76.435,2010
42,352,75.9136,2010
43,352,77.1995,2010
44,352,79.5883,2010
45,352,68.2302,2010
46,352,79.5839,2010
47,352,59.56,2010
48,352,58.743,2010
49,352,60.1516,2010
50,352,63.6796,2010
51,352,72.5789,2010
52,352,66.0214,2010
53,352,67.2515,2010
54,352,66.3632,2010
55,352,64.2035,2010
56,352,60.4958,2010
57,352,54.9529,2010
4,351,86.1003,2010
5,351,105.818,2010
6,351,114.793,2010
7,351,118.648,2010
19,351,94.2147,2010
20,351,84.6604,2010
21,351,87.211,2010
22,351,85.4238,2010
23,351,88.0444,2010
24,351,87.1727,2010
25,351,88.5457,2010
26,351,85.6093,2010
27,351,88.1751,2010
28,351,87.3985,2010
29,351,89.5749,2010
30,351,88.8448,2010
31,351,86.9171,2010
32,351,84.5794,2010
33,351,81.7024,2010
34,351,68.7277,2010
35,351,68.043,2010
36,351,70.7155,2010
37,351,76.9334,2010
38,351,75.6634,2010
39,351,75.3629,2010
40,351,72.1303,2010
41,351,74.61,2010
42,351,72.7022,2010
43,351,64.9993,2010
44,351,81.307,2010
45,351,80.0479,2010
46,351,76.6039,2010
47,351,62.0806,2010
48,351,62.3289,2010
49,351,61.4122,2010
50,351,62.7834,2010
51,351,65.4621,2010
52,351,65.5595,2010
53,351,65.4176,2010
54,351,70.8088,2010
55,351,68.6233,2010
56,351,67.7635,2010
57,351,54.794,2010
58,351,51.133,2010
4,350,92.887,2010
5,350,108.69,2010
6,350,110.726,2010
19,350,84.024,2010
20,350,85.4418,2010
21,350,85.2451,2010
22,350,83.4921,2010
23,350,88.323,2010
24,350,88.4697,2010
25,350,87.4373,2010
26,350,84.2619,2010
27,350,89.3195,2010
28,350,86.3818,2010
29,350,95.5574,2010
30,350,96.4221,2010
31,350,87.9002,2010
32,350,84.6664,2010
33,350,82.0877,2010
34,350,72.6722,2010
35,350,64.3967,2010
36,350,69.1427,2010
37,350,79.9108,2010
38,350,79.943,2010
39,350,86.7306,2010
40,350,76.361,2010
41,350,73.9562,2010
42,350,76.8551,2010
43,350,82.5602,2010
44,350,85.7743,2010
45,350,83.6107,2010
46,350,70.1017,2010
47,350,63.5396,2010
48,350,63.1275,2010
49,350,62.4838,2010
50,350,66.0519,2010
51,350,65.5283,2010
52,350,67.8785,2010
53,350,69.4447,2010
54,350,66.8927,2010
55,350,62.9673,2010
56,350,72.0901,2010
57,350,64.1341,2010
58,350,51.9806,2010
3,349,105.428,2010
4,349,100.091,2010
5,349,97.6637,2010
6,349,109.104,2010
7,349,111.803,2010
8,349,105.576,2010
19,349,84.2569,2010
20,349,85.6911,2010
21,349,78.7576,2010
22,349,87.9208,2010
23,349,91.3082,2010
24,349,88.3701,2010
25,349,83.4889,2010
26,349,81.4753,2010
27,349,85.1105,2010
28,349,81.3409,2010
29,349,90.3194,2010
30,349,96.2331,2010
31,349,89.3277,2010
32,349,89.6308,2010
33,349,83.2064,2010
34,349,75.5475,2010
35,349,68.1116,2010
36,349,66.3385,2010
37,349,66.3835,2010
38,349,75.8489,2010
39,349,77.1002,2010
40,349,81.3488,2010
41,349,75.8002,2010
42,349,73.2848,2010
43,349,79.7085,2010
44,349,80.4848,2010
45,349,83.0339,2010
46,349,65.8903,2010
47,349,63.2365,2010
48,349,67.5127,2010
49,349,63.4463,2010
50,349,63.7528,2010
51,349,63.9343,2010
52,349,69.3449,2010
53,349,65.739,2010
54,349,64.3318,2010
55,349,65.2351,2010
56,349,59.7895,2010
57,349,64.0817,2010
58,349,55.846,2010
3,348,112.092,2010
4,348,98.0437,2010
5,348,96.8637,2010
6,348,103.511,2010
7,348,116.677,2010
8,348,97.5734,2010
9,348,95.2434,2010
10,348,87.259,2010
12,348,86.7485,2010
13,348,96.0581,2010
14,348,85.5372,2010
15,348,83.002,2010
17,348,99.579,2010
18,348,90.3843,2010
19,348,80.9097,2010
20,348,85.6687,2010
21,348,82.7879,2010
22,348,78.0148,2010
23,348,82.6346,2010
24,348,79.3473,2010
25,348,79.5148,2010
26,348,80.9426,2010
27,348,80.201,2010
28,348,85.2428,2010
29,348,93.5053,2010
30,348,92.5727,2010
31,348,90.063,2010
32,348,89.4219,2010
33,348,84.7353,2010
34,348,80.5102,2010
35,348,79.0827,2010
36,348,69.964,2010
37,348,63.4182,2010
38,348,67.8255,2010
39,348,79.6038,2010
40,348,77.7509,2010
41,348,71.547,2010
42,348,71.1055,2010
43,348,83.2082,2010
44,348,90.2865,2010
45,348,89.3421,2010
46,348,78.655,2010
47,348,60.125,2010
48,348,65.7442,2010
49,348,70.2841,2010
50,348,61.547,2010
51,348,61.3226,2010
