xcord,ycord,zcord,carbon,year,plot,state,sizeclass,DBH,commonname,scientificname
320375.9844,4092716.928,2116.889892578125,0.013934835,2004,uc3,Live,1,9.8,White Fir,Abies concolor
320373.8444,4092708.988,2116.68994140625,0.167841318,2004,uc3,Live,2,26.8,White Fir,Abies concolor
320372.4944,4092709.058,2117.06005859375,0.033050559,2004,uc3,Live,1,13.9,White Fir,Abies concolor
320372.9344,4092707.438,2116.739990234375,0.074446963,2004,uc3,Live,1,19.3,White Fir,Abies concolor
320374.8444,4092703.198,2115.989990234375,0.00607676,2004,uc3,Dead,1,7,White Fir,Abies concolor
320379.7744,4092704.448,2115.070068359375,0.055979625,2004,uc3,Live,1,17.2,White Fir,Abies concolor
320380.4644,4092703.408,2114.919921875,0.009807505,2004,uc3,Live,1,8.5,White Fir,Abies concolor
320380.8644,4092703.068,2114.75,0.038597839,2004,uc3,Live,1,14.8,White Fir,Abies concolor
320383.3144,4092703.838,2114.409912109375,0.009807505,2004,uc3,Live,1,8.5,White Fir,Abies concolor
320383.1744,4092703.408,2114.330078125,0.131693373,2004,uc3,Live,2,24.3,White Fir,Abies concolor
320383.9844,4092702.538,2114.159912109375,0.005062932,2004,uc3,Live,1,6.5,White Fir,Abies concolor
320378.7644,4092696.258,2114.68994140625,19.67935539,2004,uc3,Live,6,202,Sugar Pine,Pinus lambertiana
320369.8444,4092706.848,2117.330078125,0.100648458,2004,uc3,Live,2,21.8,White Fir,Abies concolor
320385.5744,4092666.178,2110.070068359375,1.042546272,2004,uc3,Live,3,56,White Fir,Abies concolor
320380.7044,4092664.558,2110.929931640625,0.003076899,2004,uc3,Dead,1,5,Incense Cedar,Calocedrus decurrens
320378.6944,4092666.478,2111.39990234375,0.030748402,2004,uc3,Live,1,13.5,White Fir,Abies concolor
320377.6544,4092665.848,2111.56005859375,0.017311535,2004,uc3,Live,1,10.7,White Fir,Abies concolor
320377.5844,4092665.078,2111.3701171875,0.004687996,2004,uc3,Live,1,6.3,White Fir,Abies concolor
320371.9644,4092671.428,2113.489990234375,0.003356606,2004,uc3,Live,1,5.5,White Fir,Abies concolor
320371.3244,4092671.768,2113.7900390625,0.023939538,2004,uc3,Live,1,12.2,White Fir,Abies concolor
320370.4744,4092670.348,2113.739990234375,7.272779108,2004,uc3,Live,6,134.2,Sugar Pine,Pinus lambertiana
320370.0444,4092673.928,2114.179931640625,0.016137289,2004,uc3,Live,1,10.4,White Fir,Abies concolor
320368.2344,4092674.118,2114.510009765625,0.096137696,2004,uc3,Live,2,21.4,White Fir,Abies concolor
320365.0244,4092673.068,2114.89990234375,0.005256893,2004,uc3,Live,1,6.6,White Fir,Abies concolor
320361.0744,4092671.128,2115.489990234375,0.097253819,2004,uc3,Live,2,21.5,White Fir,Abies concolor
320363.4344,4092669.858,2115.06005859375,0.012905254,2004,uc3,Live,1,9.5,White Fir,Abies concolor
320365.9344,4092669.178,2114.340087890625,0.062645541,2004,uc3,Live,1,18,White Fir,Abies concolor
320364.8444,4092666.338,2114.199951171875,0.127504852,2004,uc3,Dead,2,24.5,White Fir,Abies concolor
320363.8544,4092665.728,2114.449951171875,0.006122209,2004,uc3,Live,1,6.8,Incense Cedar,Calocedrus decurrens
320357.7944,4092665.438,2115.3701171875,6.55035303,2004,uc3,Live,6,117.5,White Fir,Abies concolor
320358.6944,4092663.078,2114.860107421875,0.01538167,2004,uc3,Live,1,10.2,White Fir,Abies concolor
320353.1044,4092656.298,2114.760009765625,0.007202971,2004,uc3,Live,1,7.5,White Fir,Abies concolor
320358.5844,4092647.748,2112.179931640625,8.810084771,2004,uc3,Live,6,145.2,Sugar Pine,Pinus lambertiana
320365.1844,4092646.638,2110.56005859375,0.107647487,2004,uc3,Live,2,22.4,White Fir,Abies concolor
320363.4044,4092649.138,2111.3798828125,0.099509183,2004,uc3,Live,2,21.7,White Fir,Abies concolor
320363.9144,4092649.738,2111.18994140625,0.011293003,2004,uc3,Live,1,9,White Fir,Abies concolor
320366.4344,4092648.098,2110.43994140625,0.024929689,2004,uc3,Dead,1,13,Sugar Pine,Pinus lambertiana
320367.3644,4092647.868,2110.159912109375,0.016626173,2004,uc3,Dead,1,11,Sugar Pine,Pinus lambertiana
320366.3944,4092650.618,2111,0.118677256,2004,uc3,Live,2,23.3,White Fir,Abies concolor
320365.1144,4092654.868,2112.080078125,0.002655783,2004,uc3,Live,1,5,White Fir,Abies concolor
320364.8344,4092655.308,2112.080078125,0.005062932,2004,uc3,Live,1,6.5,White Fir,Abies concolor
320366.3544,4092639.708,2109.1201171875,0.046807714,2004,uc3,Dead,1,16,White Fir,Abies concolor
320369.4644,4092635.788,2107.969970703125,0.004157572,2004,uc3,Dead,1,6,White Fir,Abies concolor
320369.8744,4092635.888,2107.659912109375,0.040562026,2004,uc3,Live,1,15.1,White Fir,Abies concolor
320372.1444,4092634.128,2106.77001953125,0.006791252,2004,uc3,Live,1,7.6,Sugar Pine,Pinus lambertiana
320372.8744,4092634.508,2106.75,0.019379114,2004,uc3,Live,1,11.2,White Fir,Abies concolor
320373.2944,4092639.038,2107.070068359375,0.005344218,2004,uc3,Dead,1,8,White Fir,Abies concolor
320375.3344,4092638.618,2106.489990234375,0.002471192,2004,uc3,Live,1,5,Sugar Pine,Pinus lambertiana
320378.4344,4092637.458,2105.419921875,0.005760797,2004,uc3,Live,1,7.1,Sugar Pine,Pinus lambertiana
320378.0844,4092639.088,2105.72998046875,0.024009559,2004,uc3,Live,1,12.8,Sugar Pine,Pinus lambertiana
320377.3144,4092641.058,2106.300048828125,0.00768846,2004,uc3,Dead,1,8,Sugar Pine,Pinus lambertiana
320385.6044,4092649.948,2106.7900390625,0.026242962,2004,uc3,Live,1,13,Incense Cedar,Calocedrus decurrens
320386.7544,4092650.638,2106.860107421875,0.006533158,2004,uc3,Live,1,7,Incense Cedar,Calocedrus decurrens
320386.3244,4092649.468,2106.530029296875,0.018768498,2004,uc3,Live,1,11.2,Incense Cedar,Calocedrus decurrens
320387.9244,4092649.508,2106.4599609375,0.002655783,2004,uc3,Live,1,5,White Fir,Abies concolor
320388.1244,4092650.168,2106.4599609375,0.049009151,2004,uc3,Live,1,16.3,White Fir,Abies concolor
320389.8244,4092648.208,2105.389892578125,0.02669936,2004,uc3,Live,1,13.1,Incense Cedar,Calocedrus decurrens
320389.9444,4092646.888,2105.1298828125,0.00957331,2004,uc3,Live,1,8.3,Incense Cedar,Calocedrus decurrens
320399.3444,4092648.758,2104.590087890625,3.747697456,2004,uc3,Live,6,102.2,Sugar Pine,Pinus lambertiana
320393.6544,4092648.268,2104.800048828125,10.80489462,2004,uc3,Live,6,157.9,Sugar Pine,Pinus lambertiana
320392.6444,4092651.538,2105.969970703125,0.016626173,2004,uc3,Live,1,11,Sugar Pine,Pinus lambertiana
320398.1644,4092643.438,2102.7900390625,0.003534564,2004,uc3,Live,1,5.8,Jeffrey Pine,Pinus jeffreyi
