xcord,ycord,biomass,year
35,353,81.3805,2010
36,353,81.9356,2010
37,353,75.5134,2010
38,353,71.9616,2010
39,353,74.8637,2010
40,353,72.6336,2010
41,353,70.532,2010
42,353,64.0509,2010
43,353,67.9872,2010
44,353,63.7538,2010
45,353,69.2426,2010
46,353,64.2359,2010
47,353,60.9186,2010
48,353,71.6,2010
49,353,60.6499,2010
50,353,67.1256,2010
51,353,72.9983,2010
52,353,73.6863,2010
53,353,72.125,2010
54,353,76.3594,2010
55,353,57.012,2010
56,353,56.252,2010
5,352,100.412,2010
20,352,93.6927,2010
21,352,89.886,2010
22,352,88.4967,2010
23,352,92.9385,2010
24,352,86.9042,2010
25,352,89.3195,2010
26,352,88.1097,2010
27,352,90.8083,2010
28,352,86.128,2010
29,352,89.0475,2010
30,352,87.7658,2010
31,352,84.849,2010
32,352,83.4813,2010
33,352,79.5406,2010
34,352,75.3689,2010
35,352,76.6515,2010
36,352,68.1394,2010
37,352,76.208,2010
38,352,85.636,2010
39,352,73.5653,2010
40,352,78.0581,2010
41,352,77.6938,2010
42,352,77.3176,2010
43,352,78.6396,2010
44,352,80.6908,2010
45,352,69.5162,2010
46,352,79.7502,2010
47,352,59.5868,2010
48,352,59.1744,2010
49,352,60.5057,2010
50,352,64.2344,2010
51,352,73.2784,2010
52,352,67.3693,2010
53,352,68.8929,2010
54,352,67.6072,2010
55,352,65.0485,2010
56,352,61.0004,2010
57,352,54.8097,2010
4,351,86.2119,2010
5,351,107.397,2010
6,351,116.3,2010
7,351,120.397,2010
19,351,95.822,2010
20,351,85.5817,2010
21,351,87.398,2010
22,351,86.1078,2010
23,351,89.1685,2010
24,351,88.2958,2010
25,351,89.9564,2010
26,351,87.0799,2010
27,351,89.7174,2010
28,351,88.799,2010
29,351,90.7726,2010
30,351,90.3189,2010
31,351,88.2905,2010
32,351,86.1065,2010
33,351,83.1181,2010
34,351,69.9368,2010
35,351,69.2056,2010
36,351,71.832,2010
37,351,78.0776,2010
38,351,76.4838,2010
39,351,76.5583,2010
40,351,73.4304,2010
41,351,75.5917,2010
42,351,73.7936,2010
43,351,66.182,2010
44,351,83.2972,2010
45,351,80.1647,2010
46,351,76.6458,2010
47,351,62.1927,2010
48,351,62.3472,2010
49,351,61.3119,2010
50,351,62.7939,2010
51,351,65.8174,2010
52,351,66.613,2010
53,351,66.3119,2010
54,351,72.612,2010
55,351,69.5917,2010
56,351,68.612,2010
57,351,53.8008,2010
58,351,48.27,2010
4,350,93.261,2010
5,350,110.197,2010
6,350,112.384,2010
19,350,85.3811,2010
20,350,85.7483,2010
21,350,85.2274,2010
22,350,83.6213,2010
23,350,88.3548,2010
24,350,88.5846,2010
25,350,87.9993,2010
26,350,85.012,2010
27,350,90.6284,2010
28,350,87.7916,2010
29,350,97.0282,2010
30,350,97.9345,2010
31,350,89.1001,2010
32,350,86.2898,2010
33,350,83.3771,2010
34,350,73.989,2010
35,350,65.6708,2010
36,350,70.4494,2010
37,350,81.3611,2010
38,350,80.9515,2010
39,350,88.4489,2010
40,350,77.7156,2010
41,350,75.32,2010
42,350,78.0963,2010
43,350,84.146,2010
44,350,87.4128,2010
45,350,84.4658,2010
46,350,70.7199,2010
47,350,63.7409,2010
48,350,63.5231,2010
49,350,62.7969,2010
50,350,66.6749,2010
51,350,66.0219,2010
52,350,68.7631,2010
53,350,69.8076,2010
54,350,66.2448,2010
55,350,63.1036,2010
56,350,72.9029,2010
57,350,63.4911,2010
58,350,49.7109,2010
3,349,105.766,2010
4,349,100.322,2010
5,349,98.6115,2010
6,349,110.585,2010
7,349,113.474,2010
8,349,107.318,2010
19,349,85.1563,2010
20,349,86.119,2010
21,349,78.7243,2010
22,349,87.9772,2010
23,349,91.3285,2010
24,349,88.5066,2010
25,349,83.4391,2010
26,349,82.1036,2010
27,349,86.2479,2010
28,349,82.3994,2010
29,349,91.4531,2010
30,349,97.711,2010
