xcord,ycord,biomass,year
34,353,76.5444,2010
35,353,82.3406,2010
36,353,82.6299,2010
37,353,75.8413,2010
38,353,72.5887,2010
39,353,75.478,2010
40,353,73.2667,2010
41,353,71.4484,2010
42,353,65.038,2010
43,353,68.713,2010
44,353,64.395,2010
45,353,70.1556,2010
46,353,65.2706,2010
47,353,61.7583,2010
48,353,73.1694,2010
49,353,61.4039,2010
50,353,68.4135,2010
51,353,73.8717,2010
52,353,70.2396,2010
53,353,69.2625,2010
54,353,74.0376,2010
55,353,53.662,2010
56,353,53.437,2010
5,352,99.641,2010
20,352,94.1743,2010
21,352,89.7717,2010
22,352,88.7377,2010
23,352,92.6197,2010
24,352,86.9816,2010
25,352,89.2999,2010
26,352,87.9321,2010
27,352,91.4485,2010
28,352,87.1188,2010
29,352,90.0129,2010
30,352,88.7326,2010
31,352,85.2387,2010
32,352,83.7262,2010
33,352,80.1913,2010
34,352,76.1719,2010
35,352,77.5048,2010
36,352,68.8908,2010
37,352,76.7426,2010
38,352,86.2952,2010
39,352,74.167,2010
40,352,79.1835,2010
41,352,78.8128,2010
42,352,78.0364,2010
43,352,79.2974,2010
44,352,81.5495,2010
45,352,69.26,2010
46,352,81.1181,2010
47,352,59.7664,2010
48,352,59.9093,2010
49,352,61.2575,2010
50,352,64.7657,2010
51,352,72.1566,2010
52,352,64.7657,2010
53,352,66.282,2010
54,352,65.3766,2010
55,352,63.0004,2010
56,352,58.635,2010
57,352,52.6212,2010
4,351,86.4986,2010
5,351,106.319,2010
6,351,114.928,2010
7,351,119.108,2010
19,351,96.2753,2010
20,351,85.9632,2010
21,351,87.6058,2010
22,351,86.3108,2010
23,351,89.0449,2010
24,351,88.619,2010
25,351,89.9247,2010
26,351,87.2087,2010
27,351,90.6607,2010
28,351,89.7188,2010
29,351,91.6068,2010
30,351,91.2827,2010
31,351,89.1875,2010
32,351,86.7134,2010
33,351,83.8183,2010
34,351,71.0162,2010
35,351,70.1284,2010
36,351,72.586,2010
37,351,78.793,2010
38,351,77.4145,2010
39,351,77.2753,2010
40,351,73.8418,2010
41,351,76.6351,2010
42,351,74.8397,2010
43,351,66.8527,2010
44,351,83.6427,2010
45,351,81.524,2010
46,351,77.7158,2010
47,351,62.5501,2010
48,351,62.6935,2010
49,351,61.7138,2010
50,351,63.269,2010
51,351,66.3303,2010
52,351,66.0367,2010
53,351,64.9722,2010
54,351,70.0632,2010
55,351,67.6651,2010
56,351,66.504,2010
57,351,51.3305,2010
58,351,47.892,2010
4,350,93.0763,2010
5,350,109.116,2010
6,350,111.297,2010
19,350,85.6446,2010
20,350,86.1048,2010
21,350,85.3794,2010
22,350,83.7299,2010
23,350,88.5191,2010
24,350,88.8326,2010
25,350,88.0597,2010
26,350,85.4825,2010
27,350,91.4665,2010
28,350,88.5361,2010
29,350,97.194,2010
30,350,98.1683,2010
31,350,89.8892,2010
32,350,87.0246,2010
33,350,84.1907,2010
34,350,75.063,2010
35,350,66.8323,2010
36,350,71.4339,2010
37,350,81.868,2010
38,350,81.5762,2010
39,350,89.6037,2010
40,350,78.3469,2010
41,350,75.8037,2010
42,350,78.8751,2010
43,350,84.8844,2010
44,350,88.3813,2010
45,350,85.149,2010
46,350,71.2903,2010
47,350,64.4342,2010
48,350,63.9607,2010
49,350,63.1551,2010
50,350,67.3013,2010
51,350,66.7006,2010
52,350,69.2401,2010
53,350,70.7128,2010
54,350,67.4394,2010
55,350,63.4582,2010
56,350,72.4163,2010
57,350,60.3865,2010
58,350,48.4919,2010
3,349,105.087,2010
4,349,99.7981,2010
5,349,98.076,2010
6,349,109.459,2010
7,349,112.152,2010
8,349,106.124,2010
19,349,85.6222,2010
20,349,86.4108,2010
21,349,78.8311,2010
22,349,88.2302,2010
23,349,91.6536,2010
24,349,88.7769,2010
25,349,83.6369,2010
26,349,82.2275,2010
27,349,86.8531,2010
28,349,82.6655,2010
29,349,91.9251,2010
30,349,98.1526,2010
31,349,91.2287,2010
32,349,91.8844,2010
33,349,85.2662,2010
34,349,77.9514,2010
35,349,70.5579,2010
36,349,68.7693,2010
37,349,68.5579,2010
38,349,78.0393,2010
39,349,79.2368,2010
40,349,83.4179,2010
41,349,77.4271,2010
42,349,74.7636,2010
43,349,82.0041,2010
44,349,81.6908,2010
45,349,84.0258,2010
46,349,67.0676,2010
47,349,63.9863,2010
48,349,68.7979,2010
49,349,64.5936,2010
50,349,65.3408,2010
51,349,65.2108,2010
52,349,70.7982,2010
53,349,67.0455,2010
54,349,64.7918,2010
55,349,66.3552,2010
56,349,60.824,2010
57,349,63.364,2010
58,349,54.9273,2010
3,348,111.648,2010
4,348,98.0722,2010
5,348,97.6204,2010
6,348,104.188,2010
7,348,117.094,2010
8,348,98.935,2010
9,348,97.1374,2010
10,348,88.1718,2010
12,348,87.5435,2010
13,348,97.1609,2010
14,348,87.5281,2010
15,348,85.017,2010
17,348,101.995,2010
18,348,92.0108,2010
19,348,82.5096,2010
20,348,86.0111,2010
21,348,82.8513,2010
22,348,78.2288,2010
23,348,82.7797,2010
24,348,79.5159,2010
25,348,79.6522,2010
26,348,81.9415,2010
27,348,81.4606,2010
28,348,86.7312,2010
29,348,95.1947,2010
30,348,94.0786,2010
31,348,91.5492,2010
32,348,91.6784,2010
33,348,87.1654,2010
34,348,82.7824,2010
35,348,81.2465,2010
36,348,72.4222,2010
37,348,65.8895,2010
38,348,69.4441,2010
39,348,82.1197,2010
40,348,79.9579,2010
41,348,73.0525,2010
42,348,72.5924,2010
43,348,85.6576,2010
44,348,91.2058,2010
45,348,89.1186,2010
46,348,79.3029,2010
47,348,61.1953,2010
48,348,66.5661,2010
49,348,71.6889,2010
50,348,62.6414,2010
51,348,62.5175,2010
52,348,64.6414,2010
53,348,64.0359,2010
54,348,66.0134,2010
55,348,73.8738,2010
56,348,63.9328,2010
57,348,61.1682,2010
58,348,54.7225,2010
59,348,52.481,2010
2,347,108.21,2010
3,347,110.908,2010
4,347,90.9489,2010
5,347,107.492,2010
6,347,107.04,2010
7,347,112.919,2010
8,347,106.128,2010
9,347,95.6552,2010
10,347,95.4139,2010
11,347,94.4284,2010
12,347,91.2978,2010
13,347,99.7119,2010
14,347,93.1001,2010
15,347,88.2681,2010
16,347,87.3141,2010
17,347,94.7252,2010
18,347,94.7107,2010
19,347,79.614,2010
20,347,80.9904,2010
21,347,75.784,2010
22,347,74.595,2010
23,347,77.8214,2010
24,347,82.944,2010
25,347,92.842,2010
26,347,91.9285,2010
27,347,88.7955,2010
28,347,90.0901,2010
29,347,97.4061,2010
30,347,91.0119,2010
31,347,88.6637,2010
32,347,92.6607,2010
33,347,88.3598,2010
34,347,89.3329,2010
35,347,86.0898,2010
36,347,71.4191,2010
37,347,70.328,2010
38,347,72.4536,2010
39,347,81.2075,2010
40,347,75.3474,2010
41,347,68.8321,2010
42,347,79.152,2010
43,347,78.8693,2010
44,347,86.9355,2010
45,347,87.0592,2010
46,347,78.1845,2010
47,347,70.5905,2010
48,347,68.6617,2010
49,347,66.6873,2010
50,347,65.0751,2010
51,347,66.3973,2010
52,347,63.4128,2010
53,347,64.6754,2010
54,347,64.947,2010
55,347,63.4961,2010
56,347,60.7171,2010
57,347,60.9222,2010
58,347,59.2002,2010
59,347,57.0863,2010
2,346,108.993,2010
3,346,111.739,2010
4,346,91.7039,2010
5,346,104.162,2010
6,346,99.9462,2010
7,346,110.785,2010
8,346,116.27,2010
9,346,104.966,2010
10,346,104.244,2010
11,346,96.5257,2010
12,346,92.3506,2010
13,346,87.4029,2010
14,346,89.8876,2010
15,346,94.309,2010
16,346,88.7006,2010
17,346,76.8605,2010
18,346,81.8082,2010
19,346,70.8295,2010
20,346,75.1603,2010
21,346,75.5402,2010
22,346,90.5489,2010
23,346,90.4138,2010
24,346,89.1301,2010
25,346,91.1412,2010
26,346,88.9644,2010
27,346,84.8539,2010
28,346,87.3301,2010
29,346,89.2668,2010
30,346,90.8911,2010
31,346,91.5438,2010
32,346,88.0908,2010
33,346,87.9134,2010
34,346,85.2501,2010
35,346,76.3467,2010
36,346,65.3252,2010
37,346,64.3848,2010
38,346,70.1897,2010
39,346,75.5971,2010
40,346,71.0894,2010
41,346,76.0403,2010
42,346,75.2163,2010
43,346,73.5115,2010
44,346,81.0702,2010
45,346,82.5366,2010
46,346,83.8306,2010
47,346,69.8468,2010
48,346,70.6135,2010
49,346,72.8891,2010
